pares,frecuencia,grupo_a,grupo_b,lift,lift_relativo,ticket_grupo_b,ticket_grupo_a,frecuencia_norm,ticket_norm,score,relevancia
"('Hogar', 'Recreación')",84,Hogar,Recreación,0.0136495584872998,0.0236205365178509,126.7191375636869,106.1559474824039,1.0000000000000002,0.4481503457173796,0.6943541764470462,69.43541764470463
"('Hogar', 'Tecnología')",31,Hogar,Tecnología,0.0065076433324022,0.0112614651324567,110.2164158829676,106.1559474824039,0.3614457831325302,0.2396447768645306,0.2670487182789156,26.70487182789156
"('Hogar', 'Industria y construcción')",30,Hogar,Industria y construcción,0.0531849867777934,0.0920365243722109,170.39672998643147,106.1559474824039,0.3493975903614458,0.9999999999999998,0.4280458590913096,42.80458590913096
"('Cuidado Personal', 'Recreación')",25,Cuidado Personal,Recreación,0.0102027572590091,0.0176558531650256,126.7191375636869,126.30603772149972,0.2891566265060241,0.4481503457173796,0.2666552156800955,26.665521568009552
"('Recreación', 'Tecnología')",23,Recreación,Tecnología,0.0073646701793664,0.0127445485563148,110.2164158829676,126.7191375636869,0.2650602409638554,0.2396447768645306,0.2095140096624823,20.95140096624824
"('Cuidado Personal', 'Hogar')",20,Cuidado Personal,Hogar,0.005351113018016,0.0092600914945929,106.1559474824039,126.30603772149972,0.2289156626506024,0.1883423135467556,0.1768698785986311,17.68698785986312
"('Moda', 'Recreación')",14,Moda,Recreación,0.0085871143317136,0.0148599859727278,126.7191375636869,163.44572375305196,0.1566265060240964,0.4481503457173796,0.1865779699524793,18.65779699524793
"('Hogar', 'Moda')",12,Hogar,Moda,0.0048254413125554,0.0083504175496969,163.44572375305196,106.1559474824039,0.1325301204819277,0.9121766980725494,0.2636234954136058,26.362349541360587
"('Cultura y entretenimiento', 'Hogar')",12,Cultura y entretenimiento,Hogar,0.0214514752009209,0.037121739418647,106.1559474824039,157.81659031754293,0.1325301204819277,0.1883423135467556,0.1246108828822371,12.461088288223715
"('Moda', 'Tecnología')",11,Moda,Tecnología,0.0087163492927319,0.0150836268413284,110.2164158829676,163.44572375305196,0.1204819277108433,0.2396447768645306,0.1232348373676778,12.323483736767788
"('Automotor', 'Hogar')",10,Automotor,Hogar,0.0082477445067265,0.0142727070983507,106.1559474824039,139.8062838953077,0.108433734939759,0.1883423135467556,0.1055832450928767,10.55832450928767
"('Industria y construcción', 'Recreación')",10,Industria y construcción,Recreación,0.0270415274026425,0.0467953147427363,126.7191375636869,170.39672998643147,0.108433734939759,0.4481503457173796,0.1640493730558786,16.404937305587865
"('Automotor', 'Tecnología')",10,Automotor,Tecnología,0.0162525438908265,0.0281249980970766,110.2164158829676,139.8062838953077,0.108433734939759,0.2396447768645306,0.1186141959561768,11.861419595617686
"('Hogar', 'Viaje y accesorios')",9,Hogar,Viaje y accesorios,0.0086608725474376,0.0149876244329477,102.86186651896982,106.1559474824039,0.0963855421686747,0.1467228620152778,0.0901734225908499,9.017342259084996
"('Recreación', 'Viaje y accesorios')",8,Recreación,Viaje y accesorios,0.0117428237559259,0.0203209354798996,102.86186651896982,126.7191375636869,0.0843373493975903,0.1467228620152778,0.0840111691375897,8.40111691375897
"('Automotor', 'Recreación')",8,Automotor,Recreación,0.0100644165626873,0.0174164548377892,126.7191375636869,139.8062838953077,0.0843373493975903,0.4481503457173796,0.143715769749588,14.371576974958804
"('Hogar', 'Marketplace')",7,Hogar,Marketplace,0.080353650856783,0.139051848905682,91.2490996784566,106.1559474824039,0.072289156626506,0.0,0.07118386375704,7.118386375704003
"('Tecnología', 'Viaje y accesorios')",6,Tecnología,Viaje y accesorios,0.0113777539297996,0.0196891827995762,102.86186651896982,110.2164158829676,0.0602409638554217,0.1467228620152778,0.0694269872762238,6.942698727622383
